id,BIO_anno,class
0,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
1,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
2,O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
3,O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
4,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
5,O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O,2
6,B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O,2
7,B-BANK I-BANK O O O O O,2
8,O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O B-BANK I-BANK I-BANK I-BANK,2
9,B-BANK I-BANK O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2
10,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O,2
11,O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
12,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
13,B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ,2
14,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT,2
15,O O O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
16,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O B-BANK I-BANK O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2
17,O O O O O O O O O O O O O O O O,2
18,B-PRODUCT I-PRODUCT I-PRODUCT O O,2
19,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2
20,O O O O O O O O O O O O O O O O O O O,2
21,B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O,2
22,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
23,B-BANK I-BANK O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
24,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
25,O O O O O O O O O O O O O O O O O O O O O O,2
26,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2
27,O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O B-COMMENTS_N I-COMMENTS_N,2
28,O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK,2
29,O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2
30,O O O O O O O O O O O O O B-BANK I-BANK O O,2
31,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O,2
32,O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2
33,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
34,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
35,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
36,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ O O,2
37,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
38,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
39,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
40,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,2
41,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
42,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
43,O O O O O O B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2
44,O O B-BANK I-BANK O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
45,O B-BANK I-BANK O O O O O B-BANK I-BANK O O O O O O O O O O O,2
46,O O O O O O B-PRODUCT I-PRODUCT O O O O B-BANK I-BANK O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O,2
47,O O O O O O O O O O O O O O B-BANK I-BANK O O,2
48,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
49,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT I-PRODUCT O O,2
50,O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
51,O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
