id,BIO_anno,class
0,O I-COMMENTS_ADJ O O O O O I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2
1,O O O O O O O O O O O O I-PRODUCT B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-COMMENTS_N O O B-COMMENTS_ADJ O O O O O O O B-COMMENTS_N O O O,0
2,O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O I-COMMENTS_N O O B-COMMENTS_ADJ,2
3,O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
4,O O O B-PRODUCT O O,1
5,O O O O O O O O O B-BANK I-BANK O O O O,2
6,B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O,2
7,B-BANK I-BANK O O O O O,2
8,O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O B-BANK I-BANK I-BANK I-BANK,2
9,B-BANK I-BANK O O O O O O I-PRODUCT O B-PRODUCT I-PRODUCT O I-PRODUCT B-COMMENTS_ADJ O O O O O O O,2
10,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O B-PRODUCT O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O,2
11,O O O O B-BANK I-BANK O O O O O O O O B-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
12,O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O O O O O O I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
13,O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ,2
14,O O O O O O B-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O,2
15,O B-COMMENTS_ADJ O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ O O,2
16,O O O O O O O O O O O O O O O O O O O O I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O B-BANK I-BANK O O O O O I-PRODUCT O O O O O O,2
17,O O O O O O O O B-BANK I-BANK B-PRODUCT I-COMMENTS_N O O O O,2
18,B-PRODUCT I-PRODUCT O O O,2
19,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2
20,O O O O O O O B-COMMENTS_N O B-COMMENTS_ADJ O O O O O O O O O,2
21,B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O,2
22,O B-COMMENTS_ADJ O O O I-COMMENTS_ADJ O,2
23,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-COMMENTS_N O,2
23,O O O O O O O O O O O O O O O O I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
25,O O O O O O O O O O O O O O O O O O O O O O,2
26,O O O O O O O O O O I-COMMENTS_N O B-COMMENTS_ADJ O O O O O I-COMMENTS_ADJ O,2
27,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-BANK I-BANK O O O B-COMMENTS_N I-COMMENTS_N,2
28,O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O B-BANK I-BANK I-BANK I-BANK,2
29,O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ O O O,2
30,O O O O O O O O O O O O O B-BANK I-BANK O O,2
31,O O I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ O,2
32,O O O O O O I-COMMENTS_N O O O O B-COMMENTS_ADJ O O O O O,2
33,O O O B-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
34,O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O,2
35,O O O O O O O O O O O O O O O O O O O O O B-BANK O O O O O O O O O O O O O O O O B-PRODUCT B-COMMENTS_N I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ O O O O O O O O O O O O O O I-COMMENTS_ADJ O O O,2
36,O O O O O O O O O O O O O O O O B-COMMENTS_N O O O O O O O O O O O O I-COMMENTS_ADJ O O O I-COMMENTS_ADJ O O,2
37,O O O O O O O O O O O O O O O O O O O O O I-COMMENTS_N O O O O O,2
38,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O O O O O O O,2
39,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O I-COMMENTS_N O O,2
40,O O O O I-COMMENTS_N O O O O O O O O O O O O O O O I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,2
41,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
42,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
43,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
44,O O O I-BANK O O O O O O B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N,2
45,O O O O O O O O B-BANK I-BANK O O O O O O O O O O O,2
46,O O O O O O B-PRODUCT I-PRODUCT O O O O B-BANK I-BANK O O O B-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O,2
47,O O B-PRODUCT O B-COMMENTS_N O O O O O O O O O B-BANK I-BANK O O,2
48,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
48,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O I-PRODUCT I-PRODUCT O O,2
50,O O O O O O O I-COMMENTS_N O,2
51,O O O O O O I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O I-COMMENTS_N O O O O O,2
52,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O I-COMMENTS_ADJ O O O O O O O O,2
53,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2
54,O O O O O O,2
55,O B-COMMENTS_N I-COMMENTS_N O O I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0
56,O O O I-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O,2
57,O O O O O O O O O O I-COMMENTS_ADJ O O O O O O O,2
58,O I-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
59,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O,2
60,B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ,2
61,O O O O O O I-PRODUCT O O I-PRODUCT O O I-COMMENTS_N O,2
62,O O O O O B-COMMENTS_ADJ I-PRODUCT I-PRODUCT O O I-COMMENTS_N,2
63,O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O,2
64,O O O O O O O O B-BANK I-BANK O O O O O O,2
65,O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2
66,O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O,0
67,O O O O O O O O O O O O O O O,2
68,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
69,O O O O B-BANK O O O B-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O O O O O O,1
70,O O O I-PRODUCT O O O,2
71,O O O O O O O O O O O O O B-BANK I-BANK O B-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
72,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-BANK O,2
73,B-BANK I-BANK B-PRODUCT I-PRODUCT O B-BANK O O O O O O,2
74,O O O O O O O O I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O,2
75,O O O O O O O I-COMMENTS_ADJ O O O O O O,2
76,B-BANK I-BANK I-BANK I-BANK O O O O B-PRODUCT O O,2
77,B-BANK I-BANK O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N I-PRODUCT O I-COMMENTS_N O I-PRODUCT O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
78,B-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT O O O O O O O O B-BANK I-BANK O O O O O O O O,2
79,O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O I-PRODUCT I-PRODUCT O,2
